ID,Checklist,Title,Category,Sub-Category,Priority,Auto,Description,Step No,Test Steps,Expected Result,Test Data,,,,,,,,,,,,
TXS_001,Ki?m tra t? ??ng chuy?n ??n tab EVM khi truy c?p trang /txs,Default tab selection when accessing transaction page,Transactions Page Display,Default Tab Selection,1,Yes,"Verify that when accessing the transactions page, EVM tab is automatically selected",1,Navigate to https://seitrace.com/txs,The transactions page loads with EVM tab automatically selected,N/A,,,,,,,,,,,,
TXS_002,Ki?m tra truy c?p t? URL tr?c ti?p và t? navigation Blockchain / Transactions (actived khi ?ã ch?n),Access transactions page through different navigation paths,Transactions Page Navigation,Access Methods,1,Yes,Verify that transactions page can be accessed through direct URL and navigation menu with correct active state,1,Navigate directly to https://seitrace.com/txs,Transactions page loads successfully,N/A,,,,,,,,,,,,
,,,,,,,,2,"From homepage, click on Blockchain dropdown in the navigation menu",Dropdown menu appears with Transactions option,N/A,,,,,,,,,,,,
,,,,,,,,3,Click on Transactions option in the dropdown,User is navigated to the transactions page and Transactions item is highlighted as active in navigation,N/A,,,,,,,,,,,,
TXS_003,"Ki?m tra hi?n th? ?úng ??nh d?ng và s? li?u ""Completed txns"" v?i tooltip ""Number of transactions with success status""",Completed transactions statistics display and tooltip,Transactions Page Statistics,Completed Transactions,2,Yes,Verify that Completed txns statistic is displayed correctly with proper tooltip,1,Navigate to https://seitrace.com/txs,"The page displays ""Completed txns"" statistic with a numeric value followed by ""B"" (billion)",N/A,,,,,,,,,,,,
,,,,,,,,2,"Hover over the information icon next to ""Completed txns""","Tooltip appears with text ""Number of transactions with success status""",N/A,,,,,,,,,,,,
TXS_004,"Ki?m tra hi?n th? ?úng ??nh d?ng và s? li?u ""Total txs"" v?i tooltip ""All transactions including pending, dropped, replaced, failed transaction""",Total transactions statistics display and tooltip,Transactions Page Statistics,Total Transactions,2,Yes,Verify that Total txs statistic is displayed correctly with proper tooltip,1,Navigate to https://seitrace.com/txs,"The page displays ""Total txs"" statistic with a numeric value followed by ""B"" (billion)",N/A,,,,,,,,,,,,
,,,,,,,,2,"Hover over the information icon next to ""Total txs""","Tooltip appears with text ""All transactions including pending, dropped, replaced, failed transaction""",N/A,,,,,,,,,,,,
TXS_005,Ki?m tra chuy?n ??i gi?a tab EVM và Native SEI hi?n th? ?úng d? li?u t??ng ?ng,Tab switching between EVM and Native SEI,Transactions Page Display,Tab Switching,1,Yes,Verify that switching between EVM and Native SEI tabs shows corresponding data,1,Navigate to https://seitrace.com/txs,EVM tab is selected by default showing EVM transactions,N/A,,,,,,,,,,,,
,,,,,,,,2,"Click on the ""Native SEI"" tab",Tab switches to Native SEI and displays Native SEI transactions,N/A,,,,,,,,,,,,
