ID,Checklist,Title,Category,Sub-Category,Priority,Auto,Description,Step No,Test Steps,Expected Result,Test Data,Result
TXS_001,Kiểm tra tự động chuyển đến tab EVM khi truy cập trang /txs,Default tab selection when accessing transaction page,Transactions Page Display,Default Tab Selection,1,Yes,"Verify that when accessing the transactions page, EVM tab is automatically selected",1,Navigate to https://seitrace.com/txs,The transactions page loads with EVM tab automatically selected,N/A,
TXS_002,Kiểm tra truy cập từ URL trực tiếp và từ navigation Blockchain / Transactions (actived khi đã chọn),Access transactions page through different navigation paths,Transactions Page Navigation,Access Methods,1,Yes,Verify that transactions page can be accessed through direct URL and navigation menu with correct active state,1,Navigate directly to https://seitrace.com/txs,Transactions page loads successfully,N/A,
,,,,,,,,2,"From homepage, click on Blockchain dropdown in the navigation menu",Dropdown menu appears with Transactions option,N/A,
,,,,,,,,3,Click on Transactions option in the dropdown,User is navigated to the transactions page and Transactions item is highlighted as active in navigation,N/A,
TXS_003,"Kiểm tra hiển thị đúng định dạng và số liệu ""Completed txns"" với tooltip ""Number of transactions with success status""",Completed transactions statistics display and tooltip,Transactions Page Statistics,Completed Transactions,2,Yes,Verify that Completed txns statistic is displayed correctly with proper tooltip,1,Navigate to https://seitrace.com/txs,"The page displays ""Completed txns"" statistic with a numeric value followed by ""B"" (billion)",N/A,
,,,,,,,,2,"Hover over the information icon next to ""Completed txns""","Tooltip appears with text ""Number of transactions with success status""",N/A,
TXS_004,"Kiểm tra hiển thị đúng định dạng và số liệu ""Total txs"" với tooltip ""All transactions including pending, dropped, replaced, failed transaction""",Total transactions statistics display and tooltip,Transactions Page Statistics,Total Transactions,2,Yes,Verify that Total txs statistic is displayed correctly with proper tooltip,1,Navigate to https://seitrace.com/txs,"The page displays ""Total txs"" statistic with a numeric value followed by ""B"" (billion)",N/A,
,,,,,,,,2,"Hover over the information icon next to ""Total txs""","Tooltip appears with text ""All transactions including pending, dropped, replaced, failed transaction""",N/A,
TXS_005,Kiểm tra chuyển đổi giữa tab EVM và Native SEI hiển thị đúng dữ liệu tương ứng,Tab switching between EVM and Native SEI,Transactions Page Display,Tab Switching,1,Yes,Verify that switching between EVM and Native SEI tabs shows corresponding data,1,Navigate to https://seitrace.com/txs,EVM tab is selected by default showing EVM transactions,N/A,
,,,,,,,,2,"Click on the ""Native SEI"" tab",Tab switches to Native SEI and displays Native SEI transactions,N/A,
,,,,,,,,3,"Click on the ""EVM"" tab",Tab switches back to EVM and displays EVM transactions,N/A,
TXS_006,"Kiểm tra tooltip Trx hash (i) hiển thị thời gian đồng bộ đúng định dạng ""Last sync: DD/MM/YYYY HH:MM:SS UTC+XX:XX"", múi giờ đúng với thiết bị người dùng và thời gian chênh lệch so với thời gian hiện tại tối đa là 30 giây",Transaction hash tooltip displaying last sync time,Transaction Hash Information,Last Sync Time,2,Yes,"Verify that the tooltip for transaction hash shows correct sync time format, timezone and time difference",1,Navigate to https://seitrace.com/txs,Transaction hash column is displayed with information icon,N/A,
,,,,,,,,2,"Hover over the information icon (i) next to ""Trx hash""","Tooltip appears displaying ""Last sync: DD/MM/YYYY HH:MM:SS UTC+XX:XX"" format",N/A,
,,,,,,,,3,Check the timezone in the tooltip,The timezone (UTC+XX:XX) matches the user's device timezone,N/A,
,,,,,,,,4,Compare the displayed sync time with current system time,The time difference should not exceed 30 seconds,N/A,
